the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-73.88869798794587 40.81459041671916),La Peninsula Head Start,711,MANIDA STREET,10474,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2006496,2027630029,Bronx
POINT (-73.85898760690365 40.84659987074192),For Kids Only,900,MORRIS PARK AVENUE,10462,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2044464,2040940001,Bronx
POINT (-73.96187353054573 40.76141488813946),Manhattan Early Planning,328,EAST 62 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1044231,1014360013,New York
POINT (-73.95775658454828 40.76707521828304),Lenox Hill Ecc Hs Dc,331,EAST 70 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1044838,1014450014,New York
POINT (-73.96184515214753 40.77257064240087),Early Learning Center Of Temple Israel,112,EAST 75 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1043104,1014090068,New York
POINT (-73.96308122140576 40.77360010567837),The Hewitt School,45,EAST 75 STREET,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1072055,1013900028,New York
POINT (-73.9568797815184 40.779742724471326),Park Avenue Methodist Church Dc School,106,EAST 86 STREET,10028,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1047947,1015140068,New York
POINT (-73.98520302218552 40.721584245343585),Action For Progress Dcc,255,EAST HOUSTON STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1079669,1003550054,New York
POINT (-73.97861911666656 40.71671115278264),Grand Street Settlement Ccc,300,DELANCEY STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1078037,1003230001,New York
POINT (-73.97055483178742 40.76006752544509),Central Synagogue Nursery School,123,EAST 55 STREET,10022,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1036509,1013100010,New York
POINT (-73.7655770122791 40.701453705411296),"Love, Peace&Joy I/T",111-12,FARMERS BOULEVARD,11412,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4222015,4104380023,Saint Albans
POINT (-73.76800841111823 40.66614241644236),Herbert Birch Ecc,145-02,FARMERS BOULEVARD,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4285481,4133120015,Jamaica
POINT (-73.76800841111823 40.66614241644236),Herbert G. Birch Hs&Unv Pre-K,145-02,FARMERS BOULEVARD,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4285481,4133120015,Jamaica
POINT (-73.7485521544934 40.70060814156788),Stepping Stone Pre-School,114-30,FRANCIS LEWIS BOULEVARD,11411,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4236999,4110230038,Cambria Heights
POINT (-73.93694261294401 40.79636780534553),Abc Jamie Rose Hs,318,EAST 116 STREET,10029,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1052925,1016870042,New York
POINT (-73.92950297977387 40.78686531348563),Odessey House Infant Toddler Family Center,13,WARDS ISLAND,10035,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,,New York
POINT (-73.9352833649192 40.801533503719064),Touro College,240,EAST 123 STREET,10035,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1054629,1017870080,New York
POINT (-73.96863257278324 40.75272277419017),The Family School-Toddler,323,EAST 47 STREET,10017,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1038907,1013400013,New York
POINT (-73.91284973929021 40.843299860866686),Concourse Dcc Inc.,100,EAST MT EDEN AVENUE,10452,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2008017,2028370011,Bronx
POINT (-73.83629545793112 40.83983167749083),The Life Skills Home Training Turorial Program,3051,EAST TREMONT AVENUE,10461,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2087411,2053750005,Bronx
POINT (-73.84949298167375 40.87795064948598),Jade Multi Family Circle Center Inc.,3471,FENTON AVENUE,10469,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2060201,2047200001,Bronx
POINT (-73.93162737310475 40.77346183173529),Ahrc Astoria Blue Feather Ecp,27-07,8 STREET,11102,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4005574,4005100020,Astoria
POINT (-73.83430683329648 40.70814076560107),Sholom Day Care,82-52,ABINGDON ROAD,11415,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4079436,4033240038,Kew Gardens
POINT (-73.77793016885157 40.679987951635916),Ccs Montessori Center,165-21,BAISLEY BOULEVARD,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4268334,4123810006,Jamaica
POINT (-73.7856705896615 40.59358430793284),Bethel Mission Loving Dcc,3-38,BEACH 56 STREET,11692,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4436422,4158920001,Arverne
POINT (-73.81197058154395 40.588071294004436),Hammels-Arverne Dcc,2-16,BEACH 87 STREET,11693,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4303414,4161200006,Far Rockaway
POINT (-73.77260819705937 40.76575627989449),Noah's Ark Progressive Learning Center Inc.,38-20,BELL BOULEVARD,11361,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4438252,4062340006,Bayside
POINT (-73.88090525659925 40.74546656791322),Little Friends School Elmhurst,85-03,BRITTON AVENUE,11373,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4037168,4015050051,Elmhurst
POINT (-73.75242732813055 40.60511391723896),Miss D's Playgroup Dc Inc.,16-12,CENTRAL AVENUE,11691,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4297968,4155370148,Far Rockaway
POINT (-73.89914520946613 40.76839212395219),Augustana Lutheran Pre-School,69-05,DITMARS BOULEVARD,11370,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4021213,4009660001,East Elmhurst
POINT (-73.9170067757502 40.82934914608342),Hac Paradise Learning Center,258,EAST 165 STREET,10456,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2002516,2024470048,Bronx
POINT (-73.91026439355983 40.839108290139265),H.E.L.P. Morris E.C.P.,285,EAST 171 STREET,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2094523,2027870001,Bronx
POINT (-73.87828277428447 40.83479071196051),Bronx River Day Care Center,1555,EAST 174 STREET,10472,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2092903,2038860002,Bronx
POINT (-73.89660739285483 40.856738535282425),As The Twig Is Bent Cc,355,EAST 183 STREET,10458,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2092395,2031430155,Bronx
POINT (-73.89547059466425 40.85981637523512),Bronx Baptist Daycare&Learning Center,331,EAST 187 STREET,10458,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2010996,2030220048,Bronx
POINT (-73.94662594197116 40.618460613398454),Rainbow Day Care Center Inc.,1340,EAST 29 STREET,11210,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3337357,3076640041,Brooklyn
POINT (-73.93333328673668 40.60897312533677),Marine Park Day School,1972,EAST 34 STREET,11234,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3240023,3085000077,Brooklyn
POINT (-73.96244773589255 40.58809657261838),"Radauga Day Care, Inc.",2546,EAST 7 STREET,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3195961,3072230024,Brooklyn
POINT (-73.9362541671054 40.66267448945606),Parkway Pre Sch,801,EAST NEW YORK AVENUE,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3330717,3014290065,Brooklyn
POINT (-73.96804885696753 40.6733900456594),Union Temple Preschool,17,EASTERN PARKWAY,11238,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3259310,3011720006,Brooklyn
POINT (-73.97295569524182 40.6275516080805),Morah Bashys Nursery,411,ELMWOOD AVENUE,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3170346,3065030094,Brooklyn
POINT (-73.91847622431229 40.637533437729154),Yeled V'Yalda Early Head Start,6012,FARRAGUT ROAD,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3223428,3079820049,Brooklyn
POINT (-73.98134815683667 40.692790539371614),Duffield Children's Ctr Hs,101,FLEET PLACE,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058258,3020610100,Brooklyn
POINT (-73.98134815683667 40.692790539371614),Bbcs/Duffield Children's Ctr,101,FLEET PLACE,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058258,3020610100,Brooklyn
POINT (-73.94311375783778 40.700804355180026),Robert F. Kennedy Ccc,741,FLUSHING AVENUE,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3335515,3022760037,Brooklyn
POINT (-73.86547640273932 40.65605166628485),B.D.C. Early Childhood Svs,888,FOUNTAIN AVENUE,11208,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3327531,3045860300,Brooklyn
POINT (-73.95923322337036 40.69888547586188),Yeled V'Yalda Head Start,12,FRANKLIN AVENUE,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3061372,3022610017,Brooklyn
POINT (-73.9101221923426 40.67856853528934),Love In Action #1 Dcc,2071,FULTON STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3042010,3015420009,Brooklyn
POINT (-73.91215972326853 40.70163027721158),New Life Day Care Center,406,GROVE STREET,11237,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3251919,3033290016,Brooklyn
POINT (-73.97142056412284 40.75830779415471),Ywca Early Learning Center,610,LEXINGTON AVENUE,10022,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1036471,1013070059,New York
POINT (-73.98127539061788 40.78327301887574),Collegiate School,260,WEST 78 STREET,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1030901,1011690060,New York
POINT (-73.98127539061788 40.78327301887574),Collegiate Pre-School,370,WEST END AVENUE,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1030901,1011690060,New York
POINT (-74.0069966509256 40.71708112163495),Buckle My Shoe Nursery School,40,WORTH STREET,10013,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1001622,1001480015,New York
POINT (-73.82890341767 40.68936322915741),Heartshare Matilda Raffa,115-15,101 AVENUE,11419,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4198275,4094170046,South Richmond Hill
POINT (-73.82890341767 40.68936322915741),Matilda Raffa Cuomo First Step Childhood Center P/S,115-15,101 AVENUE,11419,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4198275,4094170046,South Richmond Hill
POINT (-73.8079313566875 40.694814352977396),Concerned Parents Of Jamaica Dcc,143-04,101 AVENUE,11435,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4214446,4100210001,Jamaica
POINT (-73.85772833372117 40.681151889946754),Earth Angels Kiddie Center Inc.,81-05,101 AVENUE,11416,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4188187,4090520037,Ozone Park
POINT (-73.86372284051767 40.75426518280816),Therese Cervini Hs Annex,35-33,104 STREET,11368,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4437217,4017460027,Corona
POINT (-73.83605749321443 40.69529895424551),"Once Upon A Time, Inc.",87-61,111 STREET,11418,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4194874,4093010101,Richmond Hill
POINT (-73.84483733520385 40.77998763598719),St. John's Lutheran School,22-01,123 STREET,11356,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4099540,4041990019,College Point
POINT (-73.77224970862784 40.676754713447735),Rochdale Village Kindergarten,170-10,130 AVENUE,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4436339,4124950002,Jamaica
POINT (-73.77150471321156 40.67591132423662),Rochdale Village Nursery School,170-20,130 AVENUE,11434,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4436340,4124950002,Jamaica
POINT (-73.75505925969219 40.676229300617734),Laurelton Springfield Com Dcc,216-02,137 AVENUE,11413,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4448943,4130300030,Springfield Gardens
POINT (-73.83021000734351 40.76851101997177),Holy Mountain Nursery Iii,31-70,138 STREET,11354,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4433331,4044100056,Flushing
POINT (-73.81058465764205 40.78906563283814),Grace Church Co-Oerative Playschool,151-17,14 ROAD,11357,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4438075,4047150004,Whitestone
POINT (-73.80712449642519 40.73447206347946),Mini Nursery,65-76,162 STREET,11365,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4451577,4067910001,Fresh Meadows
POINT (-73.79817882973573 40.706543490141456),A Special Place For Kids,89-14,163 STREET,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4208885,4097610055,Jamaica
POINT (-73.80339990559837 40.718788765876624),United Cerebral Palsy Of Queens,82-25,164 STREET,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4152348,4070380020,Jamaica
POINT (-73.7869454042547 40.70962249153747),Our Savior Lutheran Pre-Sch,90-04,175 STREET,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4209889,4098100001,Jamaica
POINT (-73.91948256798668 40.69603841658824),Bffy/St. Barbara's Hs,139,MENAHAN STREET,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3325706,3033060015,Brooklyn
POINT (-73.99266100119763 40.695374764798196),Inovative Learning Center,50,MONROE PLACE,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3001917,3002380007,Brooklyn
POINT (-73.96655776537274 40.63450658478282),Nayema Universal Ccc Inc.,1107,NEWKIRK AVENUE,11230,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3120093,3051970040,Brooklyn
POINT (-73.95016016575379 40.59444282151704),Fantasia Dcc,2743,OCEAN AVENUE,11229,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3202176,3074050066,Brooklyn
POINT (-73.92100268935428 40.67630220097415),Shirley Chisholm Dc #1,2023,PACIFIC STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3038522,3014310054,Brooklyn
POINT (-73.92100268935428 40.67630220097415),Shirley Chisholm Dcc,2023,PACIFIC STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3038522,3014310054,Brooklyn
POINT (-73.9693934837019 40.67717942767258),Medgar Evers Hs,237,PARK PLACE,11238,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3028742,3011580047,Brooklyn
POINT (-73.94558511299654 40.67346510182883),Park Place Day Care Center,963,PARK PLACE,11213,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3031302,3012350058,Brooklyn
POINT (-73.89611200667042 40.67467388014154),Pal Arnold & Marie Schwartz Hs,127,PENNSYLVANIA AVENUE,11207,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3083515,3036870001,Brooklyn
POINT (-73.87962313479215 40.67454466184765),"Faith, Hope&Charity #5",2505,PITKIN AVENUE,11208,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3089020,3040060037,Brooklyn
POINT (-73.95438173862222 40.675074759644275),Friends Of Crown Heights #2,671,PROSPECT PLACE,11216,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3030896,3012240045,Brooklyn
POINT (-73.91865298651516 40.635301036970134),Little Scholar's Day Care Center,1701,RALPH AVENUE,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3223376,3079800014,Brooklyn
POINT (-73.91835730457048 40.65170520668371),Praise The Lord Dc,629,REMSEN AVENUE,11236,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3103338,3047110012,Brooklyn
POINT (-73.99464324012793 40.69294946458886),Packer Collegiate Institute,120,JORALEMON STREET,11201,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3002494,3002630034,Brooklyn
POINT (-73.95558080531255 40.7065886409496),Yeshiva Head Start,274,KEAP STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3060261,3022010025,Brooklyn
POINT (-73.95477766490617 40.7092450292174),Community & Parents Dc.,349,KEAP STREET,11211,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3063338,3024360019,Brooklyn
POINT (-73.94727836382985 40.66234459734963),Mosdoth Dcc,420,LEFFERTS AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3035444,3013310009,Brooklyn
POINT (-73.94461953132061 40.654051582426334),The Children's Center At Sunny Brooklyn,440,LENOX ROAD,11203,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3108105,3048560012,Brooklyn
POINT (-73.99529128271526 40.734772086574665),First Presbyterian Church N/S,12,WEST 12 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1083138,1005750048,New York
POINT (-73.95338192496581 40.81637754571943),Annunciation Sch,461,WEST 131 STREET,10027,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1081788,1019700042,New York
POINT (-73.9451618856969 40.81620304008444),Nubian Day Care Inc.,229,WEST 135 STREET,10030,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1058880,1019410014,New York
POINT (-73.94544748201675 40.81911520473082),Child Grace Head Start,310,WEST 139 STREET,10030,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1060675,1020410060,New York
POINT (-74.0017540922099 40.73837787606503),Buckle My Shoe Nursery School,230,WEST 13 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1011091,1006170040,New York
POINT (-73.94295179566411 40.82878503159119),St. John's Pre-K,448,WEST 152 STREET,10031,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1061599,1020660049,New York
POINT (-73.94463031163639 40.83256140482557),North Presbyterian Hs,529,WEST 155 STREET,10032,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1084190,1021140058,New York
POINT (-74.00319284921629 40.74074355258773),Corlears School,324,WEST 15 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1080380,1007380054,New York
POINT (-73.99343007462606 40.738798758582874),Amac Children's Center,25,WEST 17 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1015426,1008190056,New York
POINT (-73.99702350201443 40.74572021391319),The Kids Korner Pre-School,247,WEST 24 STREET,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1014170,1007740012,New York
POINT (-73.97845607279015 40.76455740586594),Child Development Center,120,WEST 57 STREET,10019,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1023460,1010090044,New York
POINT (-73.98668563501812 40.77041480995664),Children's Center Of John Jay College,445,WEST 59 STREET,10019,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1028826,1011310001,New York
POINT (-73.98053864105954 40.771120619095065),West Side Tender Care Ii&Iii,5,WEST 63 STREET,10023,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1027468,1011160024,New York
POINT (-73.97917236872834 40.77399211403695),Stephen Wise Early Childhood Center,30,WEST 68 STREET,10023,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1028249,1011200044,New York
POINT (-73.97791054331961 40.78022964561046),Gananu Early Learning Center,120,WEST 76 STREET,10023,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1030146,1011470042,New York
POINT (-73.97641334718439 40.783018696370355),Brownstone School&Dcc,128,WEST 80 STREET,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1031775,1012100047,New York
POINT (-73.96875311544129 40.78738745074503),The Dwight School,18,WEST 89 STREET,10024,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1031515,1012020040,New York
POINT (-73.96994171708354 40.790278896720174),Chabad Child Care Toddler,102,WEST 92 STREET,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1032499,1012220029,New York
POINT (-73.86665379484272 40.672500654840576),Lincoln Day Care Center,680,LINCOLN AVENUE,11208,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3095881,3042700045,Brooklyn
POINT (-73.97757383300628 40.67711841738035),Helen Owen Carey Cdc,71,LINCOLN PLACE,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3019440,3009470054,Brooklyn
POINT (-73.89626256546723 40.66466649238567),The Children's Corner,565,LIVONIA AVENUE,11207,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3084621,3038030046,Brooklyn
POINT (-73.96446701353231 40.77254079252188),Madison Playgroup,921,MADISON AVENUE,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1041498,1013880021,New York
POINT (-73.99796588954192 40.71155332874225),Hamilton Madison House Hs,50,MADISON STREET,10038,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077420,1001110100,New York
POINT (-73.99562140507501 40.720547196377716),Chinatown Headstart,180,MOTT STREET,10012,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1007156,1004790001,New York
POINT (-73.96474222642698 40.76856944757699),The Children's Learning Ctr @ Hunter College,695,PARK AVENUE,10021,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1081419,1014030001,New York
POINT (-73.94596547354489 40.83477012775013),Riverside Head Start,800,RIVERSIDE DRIVE,10032,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063275,1021340195,New York
POINT (-73.97611285053638 40.79367365942555),Riverside Early Learning Center,202,RIVERSIDE DRIVE,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1034114,1012520005,New York
POINT (-73.96001146612888 40.80609755925284),Columbia Green House,404,WEST 116 STREET,10027,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1056054,1018670064,New York
POINT (-73.89072028603003 40.67696146540578),St. Malachy Child Development Center,220,HENDRIX STREET,11207,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3327068,3039470005,Brooklyn
POINT (-73.92248380158485 40.678328431459704),Bishop Sexton Head Start,933,HERKIMER STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3329595,3017040025,Brooklyn
POINT (-73.88123773546019 40.68276924955625),St. Peter's Pre-Sch,105,HIGHLAND PLACE,11208,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,3039300016,Brooklyn
POINT (-73.99049425907869 40.683002308715636),Bethel Baptist Dcc,242,HOYT STREET,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3006570,3004090038,Brooklyn
POINT (-73.95941001790459 40.68246760059774),Irving Place Development Center,81,IRVING PLACE,11238,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3057263,3019930015,Brooklyn
POINT (-73.91864855233813 40.70311099754852),Bethesda Dcc,319,STANHOPE STREET,11237,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3074237,3032590023,Brooklyn
POINT (-73.92546483319899 40.70235898591149),The Salvation Army Ridgewood Dcc,110,STARR STREET,11237,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3072735,3031970025,Brooklyn
POINT (-73.99812582829098 40.6851047718777),Strong Place Day Care Ctr,56,STRONG PLACE,11231,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3003874,3003230059,Brooklyn
POINT (-73.914703372257 40.6809104506336),Advent Day Care Center,265,SUMPTER STREET,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3339185,3015200051,Brooklyn
POINT (-73.98336595126902 40.59060575914923),Otsar Early Childhood Center,2324,WEST 13 STREET,11223,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3194151,3071600015,Brooklyn
POINT (-73.88510827313759 40.75151594749062),Community Church Pre-K,81-10,35 AVENUE,11372,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4029684,4012810001,Jackson Heights
POINT (-73.94521625559331 40.75480729606659),Pal Western Qns Nur Sch,10-20,41 AVENUE,11101,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4433390,4004650100,Long Island City
POINT (-73.91883266721753 40.74644167187122),Holy Mountain Nursery #1,41-05,45 STREET,11104,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4001735,4001560020,Sunnyside
POINT (-73.95307464093858 40.743043683786425),Herbert G. Birch/Western Qns Ecc.,10-24,49 AVENUE,11101,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4436607,4000420011,Long Island City
POINT (-73.86399817781201 40.73618950264116),Sesame Sprout Inc.,96-08,57 AVENUE,11368,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4047316,4019180055,Corona
POINT (-73.95340876064279 40.58116805997163),"Evelin's Windulane, Inc. ""Happy Towers Dcc""",13,WEST END AVENUE,11235,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3245825,3087260179,Brooklyn
POINT (-73.94691740877337 40.82538751823698),Children's Day Treatment Program,1727,AMSTERDAM AVENUE,10031,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1061339,1020600001,New York
POINT (-73.97570425906554 40.72334736743063),C.P.C. Jacob Riis Ccc,108,AVENUE D,10009,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077507,1003620001,New York
POINT (-73.99520506290699 40.73891742227554),John A. Colemn,590,AVENUE OF AMERICAS,10011,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1068261,1008180003,New York
POINT (-73.97961709196781 40.68864950343722),Project Chance Mcmurray Nursery,44,ROCKWELL PLACE,11217,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3058596,3020940035,Brooklyn
POINT (-73.83196947299032 40.87076406869799),Co-Op City Cdc,100,ALDRICH STREET,10475,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2095395,2051410120,Bronx
POINT (-73.86059200604757 40.838227723760745),Parkchester Early Learning Center,71,METROPOLITAN OVAL,10306,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,,Staten Island
POINT (-73.98471584884514 40.6589754960321),Therapy And Learning Center Inc.,1723,8 AVENUE,11215,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3330250,3008760001,Brooklyn
POINT (-73.90738480533224 40.662473570366984),Pal/W.O.C.E. Head Start,280,LIVONIA AVENUE,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3326581,3035900011,Brooklyn
POINT (-73.95339708001896 40.72710310061303),Greenpoint Ymca Nursery School,99,MESEROLE AVENUE,11222,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3065312,3025960001,Brooklyn
POINT (-73.92405333385543 40.669904264008075),St. John's Plsace Familty Center D.C. Program,1620,SAINT JOHNS PLACE,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3037204,3013870024,Brooklyn
POINT (-73.99598029041132 40.717019403525065),Lighthouse Pre-Sch,80,BOWERY,10013,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1002609,1002030021,New York
POINT (-73.93650970210399 40.80088672403113),Odessey House Family Center Preschool,219,EAST 121 STREET,10035,http://www.nyc.gov/html/doh/html/dc/dc.shtml,0,1017860009,New York
POINT (-73.9829187437601 40.71100514251494),L.E.S.C Short Stat Dcc I/T,7,GOUVERNEUR SLIP EAST,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1003139,1002430050,New York
POINT (-73.96475036826031 40.80565858544314),Family Annex,560,WEST 113 STREET,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1057013,1018840058,New York
POINT (-73.99997494187693 40.731481094955456),Washington Square Dcc,137,WEST 4 STREET,10012,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1008879,1005520030,New York
POINT (-73.80772169651219 40.71444709020443),Parson's Preschool Annex,83-46,PARSONS BOULEVARD,11432,http://www.nyc.gov/html/doh/html/dc/dc.shtml,4145771,4067180166,Jamaica
POINT (-73.90469492596381 40.842338227391195),Labor Bathgate Comm Ccc,1638,ANTHONY AVENUE,10457,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2009316,2028880021,Bronx
POINT (-73.85930875908012 40.86017594890053),Shell's Kids Inc. I/T,985,ASTOR AVENUE,10469,http://www.nyc.gov/html/doh/html/dc/dc.shtml,2097375,2043600001,Bronx
POINT (-73.90700144024778 40.875909722019806),Archdiocese Marble Hill Hs,5480,BROADWAY,10463,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1082781,1022150116,Bronx
