the_geom,NAME,HOUSENUM,STREETNAME,ZIP,URL,BIN,BBL,CITY
POINT (-73.95316037497459 40.66873703619194),Small Tots Child Care,223,ROGERS AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3033180,3012750009,Brooklyn
POINT (-73.95386498641591 40.666079794240424),"Bambi Day Care, Inc.",300,ROGERS AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3034151,3012950145,Brooklyn
POINT (-73.95400147058226 40.662312569211714),Tiny Town Preschool,428,ROGERS AVENUE,11225,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3034983,3013190055,Brooklyn
POINT (-73.92547455860665 40.66300085701234),Excelsior Day Care,1028,RUTLAND ROAD,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3099991,3046130008,Brooklyn
POINT (-73.92539073534269 40.66301230587368),Rutland Learning Center,1032,RUTLAND ROAD,11212,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3099992,3046130009,Brooklyn
POINT (-73.892728369613 40.66472784147289),Grace Christian Education Ctr,650,LIVONIA AVENUE,11207,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3085086,3038240021,Brooklyn
POINT (-74.00687086279787 40.67415407586205),The Salvation Army Fiesta Dcc,76,LORRAINE STREET,11231,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3338801,3005800016,Brooklyn
POINT (-73.93881816715026 40.6885398306846),P.A.L. Head Start #1a,265,MARCUS GARVEY BOULEVARD,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3044209,3016240001,Brooklyn
POINT (-73.95024821270586 40.69827905141263),Marcy Children's Ctr,494,MARCY AVENUE,11206,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3325586,3017190001,Brooklyn
POINT (-73.93587180435219 40.84808453544686),Bridge Community-Nursery,111,WADSWORTH AVENUE,10033,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1079921,1021620001,New York
POINT (-73.93418959343121 40.85159919596128),Fort George Enrichment Hs#2,210,WADSWORTH AVENUE,10033,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063932,1021640052,New York
POINT (-73.9967116404734 40.712284527034434),Mei Wah Day Care,69,MADISON STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1079617,1002770056,New York
POINT (-73.99479736662997 40.712685053991365),Red Apple Child Development,25,MARKET STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077812,1002777501,New York
POINT (-73.99479736662997 40.712685053991365),Red Apple Child Development Center,25,MARKET STREET,10002,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1077812,1002777501,New York
POINT (-73.94569621428673 40.80507833063397),Mount Morris Children's Center,15,MOUNT MORRIS PARK WEST,10027,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1053368,1017200058,New York
POINT (-73.9784736630571 40.74059538413688),Educare Early Childhood Center,484,SECOND AVENUE,10016,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1082732,1009340001,New York
POINT (-73.93166380569022 40.852709522103986),Ft. George Hs Central #1,1525,ST NICHOLAS AVENUE,10033,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1063981,1021660082,New York
POINT (-73.99986500238187 40.729079656733944),Greenwich Village Center,209,SULLIVAN STREET,10012,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1008663,1005390001,New York
POINT (-74.01306104420091 40.70835958851675),Trinity Parish Pre Sch Nurs,68,TRINITY PLACE,10006,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1001032,1000510007,New York
POINT (-73.98107322711206 40.77563694087316),Rocking Horse,120,WEST 69 STREET,10023,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1028946,1011400040,New York
POINT (-73.97084456414852 40.79784045923967),Morningside Montesorri,251,WEST 100 STREET,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1056474,1018720001,New York
POINT (-74.00798770612639 40.73333923721671),Village Community School,272,WEST 10 STREET,10014,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1080228,1006300012,New York
POINT (-73.9666683641188 40.80557808768119),Bank Street School For Children,610,WEST 112 STREET,10025,http://www.nyc.gov/html/doh/html/dc/dc.shtml,1057331,1018940056,New York
POINT (-73.92816290630556 40.697345336337094),Horace E. Greene Dcc,600,HART STREET,11221,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3073394,3032270010,Brooklyn
POINT (-73.89072028603003 40.67696146540578),St. Malachy Child Development Center Hs,220,HENDRIX STREET,11207,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3327068,3039470005,Brooklyn
POINT (-73.92368544650498 40.66990176206623),St. John's Place Family Center I/T Program,1630,ST JOHN'S PLACE,11233,http://www.nyc.gov/html/doh/html/dc/dc.shtml,3037205,3013870029,Brooklyn
